,source,target
0, te 1 1 p a, en 20 en 30 en 27 en 30
1, te 1 1 p t, en 265 en 268 en 243 en 253
2, te 1 1 p b, en 96 en 78 en 64 en 82
3, te 1 1 p s, en 226 en 224 en 214 en 208
4, te 1 1 p c, en 132 en 116 en 117 en 128
5, te 1 1 p l, en 170 en 158 en 177 en 175
6, te 1 1 p bk, en 39 en 56 en 47 en 46
7, te 1 1 p cl, en 102 en 103 en 104 en 109
8, te 1 2 p a, en 25 en 17 en 19 en 23
9, te 1 2 p t, en 269 en 263 en 255 en 252
10, te 1 2 p b, en 71 en 95 en 63 en 66
11, te 1 2 p s, en 208 en 209 en 224 en 231
12, te 1 2 p c, en 130 en 113 en 135 en 140
13, te 1 2 p l, en 154 en 175 en 156 en 184
14, te 1 2 p bk, en 61 en 48 en 44 en 40
15, te 1 2 p cl, en 104 en 103 en 109 en 105
16, te 1 3 p a, en 34 en 23 en 19 en 5 en 21
17, te 1 3 p t, en 234 en 268 en 260 en 238
18, te 1 3 p b, en 95 en 96 en 73 en 97
19, te 1 3 p s, en 226 en 229 en 212 en 214
20, te 1 3 p c, en 128 en 116 en 140 en 135
21, te 1 3 p l, en 156 en 175 en 184 en 165
22, te 1 3 p bk, en 201 en 37 en 36 en 47
23, te 1 3 p cl, en 102 en 103 en 104 en 109
24, te 2 1 p a, en 27 en 28 en 6 en 25
25, te 2 1 p t, en 254 en 253 en 268 en 252
26, te 2 1 p b, en 99 en 82 en 73 en 97
27, te 2 1 p s, en 208 en 224 en 226 en 214
28, te 2 1 p c, en 130 en 112 en 133 en 119
29, te 2 1 p l, en 199 en 177 en 175 en 154
30, te 2 1 p bk, en 56 en 52 en 46 en 37
31, te 2 1 p cl, en 109 en 104 en 105 en 103
32, te 2 2 p a, en 30 en 19 en 35 en 26
33, te 2 2 p t, en 268 en 234 en 263 en 245
34, te 2 2 p b, en 95 en 66 en 65 en 82
35, te 2 2 p s, en 225 en 212 en 226 en 222
36, te 2 2 p c, en 132 en 134 en 145 en 112
37, te 2 2 p l, en 177 en 196 en 174 en 185
38, te 2 2 p bk, en 204 en 39 en 52 en 44
39, te 2 2 p cl, en 105 en 103 en 109 en 104
40, te 2 3 p a, en 9 en 17 en 23 en 8 en 11
41, te 2 3 p t, en 260 en 263 en 265 en 268
42, te 2 3 p b, en 82 en 97 en 93 en 78
43, te 2 3 p s, en 222 en 231 en 225 en 212
44, te 2 3 p c, en 117 en 119 en 111 en 112
45, te 2 3 p l, en 199 en 177 en 151 en 186
46, te 2 3 p bk, en 203 en 61 en 57 en 37
47, te 2 3 p cl, en 103 en 104 en 109 en 105
48, te 3 1 p a, en 28 en 33 en 27 en 16
49, te 3 1 p t, en 253 en 255 en 234 en 266
50, te 3 1 p b, en 97 en 94 en 73 en 63
51, te 3 1 p s, en 226 en 209 en 229 en 224
52, te 3 1 p c, en 116 en 119 en 112 en 124 en 137
53, te 3 1 p l, en 174 en 180 en 185 en 170
54, te 3 1 p bk, en 203 en 201 en 53 en 59
55, te 3 1 p cl, en 102 en 105 en 103 en 104
56, te 3 2 p a, en 9 en 26 en 23 en 35
57, te 3 2 p t, en 234 en 238 en 253 en 258
58, te 3 2 p b, en 82 en 94 en 99 en 66
59, te 3 2 p s, en 225 en 229 en 209 en 222
60, te 3 2 p c, en 129 en 119 en 133 en 115 en 137
61, te 3 2 p l, en 185 en 170 en 182 en 177
62, te 3 2 p bk, en 36 en 39 en 46 en 44
63, te 3 2 p cl, en 105 en 103 en 104 en 109
64, te 3 3 p a, en 9 en 17 en 35 en 3 en 21
65, te 3 3 p t, en 238 en 266 en 269 en 268
66, te 3 3 p b, en 78 en 97 en 99 en 95
67, te 3 3 p s, en 231 en 209 en 224 en 229
68, te 3 3 p c, en 132 en 112 en 111 en 141 en 143
69, te 3 3 p l, en 183 en 175 en 184 en 165
70, te 3 3 p bk, en 205 en 56 en 202 en 57
71, te 3 3 p cl, en 103 en 104 en 105 en 109
72, ad 1 1 p a, en 33 en 6 en 27 en 28
73, ad 1 1 p t, en 268 en 269 en 266 en 252
74, ad 1 1 p b, en 97 en 64 en 96 en 99
75, ad 1 1 p s, en 209 en 225 en 224 en 231
76, ad 1 1 p c, en 146 en 113 en 140 en 116
77, ad 1 1 p l, en 181 en 165 en 196 en 151
78, ad 1 1 p bk, en 203 en 202 en 48 en 52
79, ad 1 1 p cl, en 105 en 104 en 103 en 102
80, ad 1 2 p a, en 4 en 19 en 26 en 17
81, ad 1 2 p t, en 265 en 252 en 269 en 260
82, ad 1 2 p b, en 71 en 99 en 64 en 65
83, ad 1 2 p s, en 225 en 209 en 222 en 212
84, ad 1 2 p c, en 116 en 113 en 140 en 146
85, ad 1 2 p l, en 196 en 180 en 158 en 184
86, ad 1 2 p bk, en 36 en 204 en 53 en 57
87, ad 1 2 p cl, en 109 en 105 en 103 en 102
88, ad 1 3 p a, en 9 en 19 en 17 en 31 en 2
89, ad 1 3 p t, en 266 en 245 en 255 en 268
90, ad 1 3 p b, en 63 en 64 en 65 en 66
91, ad 1 3 p s, en 226 en 231 en 229 en 221
92, ad 1 3 p c, en 136 en 113 en 146 en 135
93, ad 1 3 p l, en 183 en 196 en 182 en 177
94, ad 1 3 p bk, en 47 en 201 en 61 en 46
95, ad 1 3 p cl, en 105 en 109 en 102 en 104
96, ad 2 1 p a, en 27 en 25 en 34 en 28
97, ad 2 1 p t, en 265 en 254 en 245 en 255
98, ad 2 1 p b, en 95 en 78 en 66 en 73
99, ad 2 1 p s, en 212 en 226 en 225 en 222
100, ad 2 1 p c, en 130 en 112 en 134 en 133
101, ad 2 1 p l, en 177 en 170 en 196 en 174
102, ad 2 1 p bk, en 202 en 37 en 39 en 59
103, ad 2 1 p cl, en 104 en 105 en 109 en 102
104, ad 2 2 p a, en 34 en 26 en 17 en 35
105, ad 2 2 p t, en 268 en 255 en 245 en 238
106, ad 2 2 p b, en 93 en 65 en 73 en 66
107, ad 2 2 p s, en 209 en 231 en 212 en 222
108, ad 2 2 p c, en 117 en 112 en 145 en 119
109, ad 2 2 p l, en 182 en 181 en 186 en 199
110, ad 2 2 p bk, en 203 en 201 en 40 en 39
111, ad 2 2 p cl, en 103 en 104 en 105 en 109
112, ad 2 3 p a, en 16 en 26 en 35 en 1 en 18
113, ad 2 3 p t, en 268 en 234 en 245 en 268
114, ad 2 3 p b, en 64 en 95 en 71 en 96
115, ad 2 3 p s, en 221 en 212 en 208 en 209
116, ad 2 3 p c, en 147 en 134 en 119 en 145
117, ad 2 3 p l, en 182 en 175 en 196 en 174
118, ad 2 3 p bk, en 203 en 59 en 39 en 46
119, ad 2 3 p cl, en 104 en 105 en 109 en 103
120, ad 3 1 p a, en 9 en 16 en 34 en 4
121, ad 3 1 p t, en 258 en 234 en 253 en 238
122, ad 3 1 p b, en 64 en 82 en 94 en 95
123, ad 3 1 p s, en 222 en 209 en 221 en 231
124, ad 3 1 p c, en 140 en 145 en 119 en 138 en 139
125, ad 3 1 p l, en 175 en 181 en 182 en 186
126, ad 3 1 p bk, en 47 en 203 en 40 en 52
127, ad 3 1 p cl, en 103 en 102 en 105 en 104
128, ad 3 2 p a, en 28 en 17 en 35 en 19
